;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
56;2020-08-24;EURUSD000TOM;1.1808;1.17848;1.1849;1.1787;2332842524.29;1 day lag;;1.1807720094746985;1.182198031784227;-0.0014260223095285962;0;53382171102.80999;27.55136169182604;43.23376352054513;1.1919203266505838;1.1812129999999996;1.1705056733494155;-15.682401828719094;-1;Продавать (Short)
57;2020-08-25;EURUSD000TOM;1.1803;1.1788;1.18426;1.18354;4099832420.31;1 day lag;;1.1821560047373492;1.1824664254273818;-0.00031042069003262007;0;57482003523.11999;35.82842724978973;36.231456793133695;1.1915600688025;1.1818219999999997;1.1720839311974993;-0.4030295433439619;0;Ожидать (Hold)
58;2020-08-26;EURUSD000TOM;1.1809;1.1775;1.1838;1.1831;3276659859.03;1 day lag;;1.1826280023686746;1.1825931403419054;3.486202676916683e-05;0;54205343664.08999;45.07989907485276;36.153229338822875;1.1916944358061645;1.1819894999999998;1.172284564193835;8.926669736029886;1;Покупать (Long)
59;2020-08-27;EURUSD000TOM;1.18269;1.1765;1.19;1.18228;5518565590.59;1 day lag;;1.1824540011843374;1.1825305122735243;-7.651108918693694e-05;0;48686778073.499985;42.43061396131188;41.11298009531816;1.191503906699065;1.1818724999999997;1.1722410933009344;1.3176338659937201;1;Покупать (Long)
60;2020-08-28;EURUSD000TOM;1.1868;1.1868;1.19194;1.1904;4396878215.72;1 day lag;;1.1864270005921687;1.1841044098188196;0.0023225907733490647;0;53083656289.219986;57.77964676198448;48.43005326604973;1.1926030255320617;1.1825224999999997;1.1724419744679377;9.349593495934748;1;Покупать (Long)
61;2020-08-31;EURUSD000TOM;1.1904;1.18858;1.1965;1.19356;4230660865.64;1 day lag;;1.1899935002960844;1.1859955278550558;0.003997972441028619;1;57314317154.859985;81.27578113178313;60.495347285026526;1.1941539679665596;1.1833645;1.1725750320334403;20.78043384675661;1;Покупать (Long)
62;2020-09-01;EURUSD000TOM;1.19777;1.19023;1.2008;1.1913799999999999;3595812629.42;1 day lag;;1.1906867501480423;1.1870724222840447;0.003614327863997513;1;53718504525.43999;75.25482047021131;71.43674945465968;1.1951442137739703;1.1839359999999997;1.172727786226029;3.818071015551638;1;Покупать (Long)
63;2020-09-02;EURUSD000TOM;1.19062;1.18222;1.19062;1.1853200000000002;3228926915.72;1 day lag;;1.1880033750740213;1.1867219378272358;0.0012814372467855328;0;50489577609.719986;50.84879589419644;69.12646583206366;1.1950468124985127;1.1838789999999997;1.1727111875014866;-18.277669937867216;-1;Продавать (Short)
64;2020-09-03;EURUSD000TOM;1.18;1.17896;1.1862;1.18518;3016081502.54;1 day lag;;1.1865916875370106;1.1864135502617887;0.00017813727522186795;0;47473496107.179985;38.61034346624547;54.90465327688443;1.1948138049911685;1.1837579999999996;1.1727021950088308;-16.294309810638964;-1;Продавать (Short)
65;2020-09-04;EURUSD000TOM;1.1837;1.17803;1.1861899999999999;1.18346;4528051116.13;1 day lag;;1.1850258437685053;1.185822840209431;-0.0007969964409257901;0;42945444991.04999;34.938807737859776;41.46598236610058;1.1948053627554744;1.1839989999999996;1.1731926372445247;-6.527174628240807;-1;Продавать (Short)
66;2020-09-07;EURUSD000TOM;1.183;1.1814;1.18474;1.1814;2576280631.33;1 day lag;;1.1832129218842526;1.184938272167545;-0.0017253502832923484;0;40369164359.719986;27.47729964468985;33.675483616265055;1.1942882211011088;1.1843559999999997;1.1744237788988907;-6.1981839715752045;-1;Продавать (Short)
67;2020-09-08;EURUSD000TOM;1.1818;1.17651;1.182;1.1776;2938561792.05;1 day lag;;1.1804064609421263;1.183470617734036;-0.0030641567919096335;0;37430602567.66998;15.909988156336201;26.108698512961965;1.1936914023130014;1.1845704999999995;1.1754495976869976;-10.198710356625764;-1;Продавать (Short)
68;2020-09-09;EURUSD000TOM;1.1767299999999998;1.17546;1.18326;1.1803;1996366099.74;1 day lag;;1.180353230471063;1.1828364941872287;-0.0024832637161655846;0;39426968667.40998;13.75461898208033;19.047302261035483;1.1936772269539693;1.1845854999999994;1.1754937730460295;-5.292683278955153;-1;Продавать (Short)
69;2020-09-10;EURUSD000TOM;1.18244;1.181;1.19154;1.18164;6252679662.15;1 day lag;;1.1809966152355316;1.1825971953497831;-0.0016005801142515708;0;45679648329.55998;21.7442778216258;17.1362949866808;1.1936671386210906;1.1846099999999997;1.1755528613789088;4.607982834945002;1;Покупать (Long)
70;2020-09-11;EURUSD000TOM;1.1833200000000001;1.1827;1.18728;1.1845;3177612159.1;1 day lag;;1.1827483076177658;1.1829777562798267;-0.00022944866206087156;0;48857260488.65998;30.031570639305713;21.84348914767064;1.1936880249089787;1.1846349999999997;1.1755819750910206;8.188081491635074;1;Покупать (Long)
71;2020-09-14;EURUSD000TOM;1.1845;1.18436;1.18872;1.18616;1334733576.08;1 day lag;;1.184454153808883;1.1836142050238614;0.0008399487850216936;0;50191994064.73998;38.950276243094294;30.242041568008627;1.1935548116705927;1.1845679999999996;1.1755811883294065;8.708234675085667;1;Покупать (Long)
72;2020-09-15;EURUSD000TOM;1.1892;1.1840000000000002;1.19;1.18456;4076155656.93;1 day lag;;1.1845070769044415;1.1838033640190893;0.0007037128853522034;0;46115838407.80998;39.06866614048961;36.01683767429656;1.1921157688813109;1.1841199999999996;1.1761242311186884;3.051828466193051;1;Покупать (Long)
73;2020-09-16;EURUSD000TOM;1.185;1.179;1.188;1.1812;4612610499.02;1 day lag;;1.1828535384522207;1.1832826912152714;-0.0004291527630506664;0;41503227908.78998;29.28176795580128;35.766903446461754;1.1920862658061007;1.1839899999999997;1.1758937341938986;-6.4851354906604755;-1;Продавать (Short)
74;2020-09-17;EURUSD000TOM;1.17734;1.17708;1.18508;1.18478;2543596466.73;1 day lag;;1.1838167692261103;1.1835821529722172;0.00023461625389309404;0;44046824375.51998;29.715864246250934;32.68876611418063;1.1919717634161753;1.1839239999999998;1.1758762365838242;-2.9729018679296964;-1;Продавать (Short)
75;2020-09-18;EURUSD000TOM;1.18656;1.177;1.18685;1.18446;2567647879.66;1 day lag;;1.184138384613055;1.183757722377774;0.000380662235281104;0;41479176495.859985;36.14838200473559;31.715338068929288;1.1919549932512747;1.1841759999999997;1.1763970067487246;4.4330439358063;1;Покупать (Long)
76;2020-09-21;EURUSD000TOM;1.18632;1.17324;1.1866;1.17708;4063268135.11;1 day lag;;1.1806091923065276;1.1824221779022193;-0.0018129855956916519;0;37415908360.749985;28.250287888001548;31.37151137966271;1.1921299125697637;1.1840949999999997;1.1760600874302356;-3.121223491661162;-1;Продавать (Short)
77;2020-09-22;EURUSD000TOM;1.1748;1.16944;1.1765;1.17135;4868104212.28;1 day lag;;1.1759795961532638;1.1802077423217754;-0.004228146168511637;-1;32547804148.469986;14.813070247013535;26.40391337991691;1.1932578722300213;1.1834854999999997;1.1737131277699782;-11.590843132903377;-1;Продавать (Short)
78;2020-09-23;EURUSD000TOM;1.16898;1.1652200000000001;1.17172;1.1656600000000001;3116855536.46;1 day lag;;1.170819798076632;1.1772981938574205;-0.006478395780788571;-1;29430948612.009987;5.1571332297236;16.07349712157958;1.195102602890211;1.1826134999999998;1.1701243971097885;-10.916363891855982;-1;Продавать (Short)
79;2020-09-24;EURUSD000TOM;1.16508;1.16288;1.16852;1.1673200000000001;1942541260.49;1 day lag;;1.1690698990383162;1.1753025550859366;-0.006232656047620466;-1;31373489872.49999;8.581853700337776;9.517352392358324;1.1960251489717175;1.1818654999999998;1.167705851028282;-0.9354986920205484;0;Ожидать (Hold)
